Name,Sex,Age,Height,Weight,NOC,Year,Season,Sport,Event,Medals
Edgar Lindenau Aabye,M,34,,,DEN,1900,Summer,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Arvo Ossian Aaltonen,M,30,,,FIN,1920,Summer,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Arvo Ossian Aaltonen,M,30,,,FIN,1920,Summer,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
Juhamatti Tapio Aaltonen,M,28,184,85,FIN,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Paavo Johannes Aaltonen,M,28,175,64,FIN,1948,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Paavo Johannes Aaltonen,M,28,175,64,FIN,1948,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
Paavo Johannes Aaltonen,M,28,175,64,FIN,1948,Summer,Gymnastics,Gymnastics Men's Horse Vault,Gold
Paavo Johannes Aaltonen,M,28,175,64,FIN,1948,Summer,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Paavo Johannes Aaltonen,M,32,175,64,FIN,1952,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Kjetil Andr Aamodt,M,20,176,85,NOR,1992,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Kjetil Andr Aamodt,M,20,176,85,NOR,1992,Winter,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
Kjetil Andr Aamodt,M,22,176,85,NOR,1994,Winter,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
Kjetil Andr Aamodt,M,22,176,85,NOR,1994,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
Kjetil Andr Aamodt,M,22,176,85,NOR,1994,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Silver
Kjetil Andr Aamodt,M,30,176,85,NOR,2002,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Kjetil Andr Aamodt,M,30,176,85,NOR,2002,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Gold
Kjetil Andr Aamodt,M,34,176,85,NOR,2006,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Ragnhild Margrethe Aamodt,F,27,163,,NOR,2008,Summer,Handball,Handball Women's Handball,Gold
Willemien Aardenburg,F,22,,,NED,1988,Summer,Hockey,Hockey Women's Hockey,Bronze
Pepijn Aardewijn,M,26,189,72,NED,1996,Summer,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Ann Kristin Aarnes,F,23,182,64,NOR,1996,Summer,Football,Football Women's Football,Bronze
Thomas Valentin Aas,M,25,,,NOR,1912,Summer,Sailing,Sailing Mixed 8 metres,Gold
Giovanni Abagnale,M,21,198,90,ITA,2016,Summer,Rowing,Rowing Men's Coxless Pairs,Bronze
Patimat Abakarova,F,21,165,49,AZE,2016,Summer,Taekwondo,Taekwondo Women's Flyweight,Bronze
Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80,RUS,2008,Summer,Athletics,Athletics Women's Javelin Throw,Silver
Luc Abalo,M,23,182,86,FRA,2008,Summer,Handball,Handball Men's Handball,Gold
Luc Abalo,M,27,182,86,FRA,2012,Summer,Handball,Handball Men's Handball,Gold
Luc Abalo,M,31,182,86,FRA,2016,Summer,Handball,Handball Men's Handball,Silver
